Date,Open,High,Low,Close,Volume,ema_9,ema_21,ema_50,sma_20,macd,macd_signal,macd_diff,adx,rsi_14,rsi_7,stoch_k,stoch_d,williams_r,cci,bb_upper,bb_lower,bb_width,bb_pct,atr_14,obv,cmf,volume_sma,volume_ratio,returns_1d,returns_5d,returns_10d,high_low_pct,close_open_pct,dist_ema9,dist_ema21,dist_ema50
2015-03-13,2225.0,2230.0,2192.4,2220.4,1544921,2228.6235942989033,2236.4145687238497,2187.1117251199444,2263.81,4.278415463126294,19.859164625992797,-15.580749162866503,30.963468717390445,48.53119145256202,44.01364885572216,34.47880870561291,26.756362991893127,-65.52119129438708,-107.8469363887404,2345.29303258961,2182.32696741039,7.198751890804445,0.2336255253370682,51.07691256096583,36306741,-0.037161879367182404,1589357.7,0.9720410955947802,0.0009466708740928365,-0.012101797472859888,-0.020015447423590405,0.01693388578634476,-0.0020674157303370378,-0.0037036544311399786,-0.007212470151256353,0.014992017150088147
2015-03-16,2210.55,2282.0,2210.55,2266.65,1704658,2236.228875439123,2239.1632442944087,2190.2308731544567,2262.3375,6.502355201336286,17.187802741061496,-10.68544753972521,29.94932892847827,55.53361181130447,58.588083848657625,60.9679266895762,42.90759831996954,-39.0320733104238,-21.676182780263254,2342.486710070964,2182.1882899290363,7.085521949838503,0.5269029476159636,52.5321330923254,38011399,0.015691640316912836,1603871.65,1.0628394111212078,0.020829580255809832,0.03497637040250212,-0.012976550763134309,0.0315222906050779,0.025378299518219405,0.013421183050262351,0.012126599036283214,0.03371456856839095
2015-03-17,2266.65,2279.5,2217.25,2240.5,1384828,2237.0831003512985,2239.2847675403714,2192.2022114621254,2260.425,6.084617330117908,14.96716565887278,-8.882548328754872,29.007627695916966,51.285072179660936,50.00185556788365,52.244632400780766,49.23045593198996,-47.755367599219234,-32.95939832696617,2340.741663899838,2180.1083361001624,7.106333003734938,0.3759597384121402,53.22626644287359,36626571,0.02200735537562274,1595059.6,0.8681982792367131,-0.011536849535658367,0.01933575978161972,-0.02234149321464407,0.02778397679089489,-0.01153684953565839,0.001525061213435159,0.000542393420945603,0.021556700976511745
2015-03-18,2254.5,2262.85,2222.55,2229.5,1226391,2235.566480281039,2238.395243218519,2193.66486983616,2257.075,4.810496578250422,12.935831842748309,-8.125335264497886,28.133190837110043,49.567226878685744,46.64692210760493,45.08783344176972,52.7667975107089,-54.91216655823028,-43.277457656713835,2336.679437690367,2177.4705623096324,7.053769829568568,0.3267998568920451,52.30296169695402,35400180,-0.04768949770787647,1548707.1,0.7918805305406038,-0.004909618388752479,0.021675373476308435,-0.029745196596818735,0.018075801749271016,-0.011088933244621867,-0.0027210048356307785,-0.003989792876662582,0.016073168945431687
2015-03-19,2234.6,2249.0,2222.75,2230.45,1722935,2234.5431842248313,2237.672948380472,2195.107423960232,2252.3625,3.833216825895761,11.1153088393778,-7.282092013482039,27.32121375393218,49.723855328962216,47.005190778498594,45.70592062459328,47.67946215571459,-54.29407937540672,-45.22982835776232,2326.3569989509333,2178.368001049067,6.570389886257928,0.35193156038173273,50.442035861457306,37123115,-0.11676235193765272,1513933.55,1.1380519310111068,0.00042610450773716835,0.005477167200107935,-0.019431560899479172,0.011768925553139502,-0.0018571556430681513,-0.0018351383016124438,-0.0032383368291027327,0.015845491286407526
2015-03-20,2241.0,2268.9,2232.95,2257.45,1607724,2239.1245473798654,2239.4708621640652,2197.5522308637524,2251.08,5.177704577459281,9.927787986994096,-4.750083409534815,27.05362203599972,54.08808916726378,56.656028347664574,63.27260897852949,51.35545434829749,-36.72739102147051,1.321825674519723,2323.7767977286458,2178.383202271354,6.458837333959329,0.5438121086418214,49.58546187135323,38730839,-0.052236071366574995,1507174.4,1.0667139781567416,0.012105180568943386,0.01668618266978905,0.0043824523936644155,0.01592504817382457,0.007340473003123524,0.008117766781162133,0.007964357055941253,0.026533375771887514
2015-03-23,2253.0,2275.0,2225.5,2233.45,1269675,2237.9896379038923,2238.9235110582413,2198.959986516154,2249.4725,4.25754307708894,8.793739005013066,-4.536195927924126,26.523303393657965,49.93842414942108,47.6560061001522,47.65777488614175,52.21210149642152,-52.34222511385825,-15.221550751218041,2322.23571512275,2176.7092848772495,6.469358049298256,0.3898997249298953,49.57935745197086,37461164,-0.06279891468258426,1507027.05,0.8425031256074667,-0.010631464705752047,-0.01464716652328335,0.019816899157553358,0.022163021334706396,-0.008677319130048905,-0.002032567509410341,-0.0024506978254455916,0.015442482922763356
2015-03-24,2234.9,2253.4,2206.0,2211.45,1684133,2232.681710323114,2236.425919143856,2199.4497909665006,2246.405,1.733114060250955,7.381614016060643,-5.6484999558096884,25.325286711783836,46.422525957137594,40.73562421486434,33.344176968119655,48.09152027759696,-66.65582303188035,-58.758832746947675,2320.1420659844807,2172.6679340155197,6.564895108805448,0.2629753806087336,49.423689062544376,35777031,-0.09452219701648182,1510762.75,1.1147567677320611,-0.009850231704313983,-0.01296585583575105,0.006119199272065501,0.021433900834294285,-0.010492639491699974,-0.009600809569791036,-0.011293910847568844,0.005426398531958323
2015-03-25,2222.9,2229.15,2200.75,2219.1,1542742,2229.9653682584917,2234.8508355853232,2200.220387399187,2241.48,0.3457908811301422,5.974449389074543,-5.628658507944401,24.02954745866514,47.798801428620536,44.03272429126163,42.51172861782751,41.17122682402964,-57.48827138217249,-68.9485983512965,2308.3791733880153,2174.580826611985,5.969196547639528,0.3327333592733942,47.92199698664836,37319773,-0.09811697530492051,1512337.7,1.020104173823082,0.003459268805534821,-0.004664723032069995,0.016909540830354786,0.012797981163534807,-0.0017094786090243294,-0.004896295010811499,-0.0070978484905246855,0.008507779100001278
2015-03-26,2208.0,2214.9,2132.0,2146.35,3935210,2213.2422946067936,2226.8053050775666,2198.107823187454,2235.8925,-6.548502673806524,3.4698589764983296,-10.018361650304854,23.698430966265857,37.84320485078981,27.227016173546048,9.566666666666606,28.47419075087126,-90.4333333333334,-169.48770804702986,2314.0290297092197,2157.75597029078,6.989292169388266,-0.07298743835454985,50.72042577331633,33384563,-0.14039319842275597,1628526.0,2.41642442306724,-0.032783560903068776,-0.037705395772153594,-0.03243474732903584,0.03862371001933519,-0.027921195652173953,-0.031165604214966672,-0.037484708960592014,-0.02411434443937571
