Date,Open,High,Low,Close,Volume,ema_9,ema_21,ema_50,sma_20,macd,macd_signal,macd_diff,adx,rsi_14,rsi_7,stoch_k,stoch_d,williams_r,cci,bb_upper,bb_lower,bb_width,bb_pct,atr_14,obv,cmf,volume_sma,volume_ratio,returns_1d,returns_5d,returns_10d,high_low_pct,close_open_pct,dist_ema9,dist_ema21,dist_ema50
2015-03-13,348.3,350.0,336.7,339.4,10434348,347.32308003241513,358.17810932180873,363.90405595649355,367.95,-9.134159277960634,-5.164364828713925,-3.9697944492467094,29.25501109287021,36.185435373812965,32.157158953070365,5.744822979291859,8.439100423068298,-94.25517702070813,-76.4893492403355,417.8247531322212,318.0752468677788,27.109527453306807,0.21378304445625915,11.364410846094028,-68871761,-0.16789897489607208,14583010.85,0.715513970834082,-0.020914467041684648,-0.019783393501805135,-0.13792227584455174,0.03918680023571011,-0.025552684467413246,-0.02334437251742828,-0.05532736983443948,-0.07219816133321619
2015-03-16,341.0,341.6,335.0,335.4,5730165,344.9384640259321,356.1073721107352,362.7862498405526,365.8175,-9.708733166874595,-6.073238496346059,-3.6354946705285354,29.027659300132687,34.38697852852036,28.92632349761486,0.5336891260840257,7.236457942940898,-99.46631087391597,-80.39229196812057,417.4004358896913,314.23456411030867,28.201458863882305,0.20515927917473528,11.024095785658742,-74601926,-0.20061108585603155,14568651.45,0.3933215795343913,-0.011785503830288757,-0.008718782325993879,-0.07181403071814041,0.01967799642218254,-0.01642228739002939,-0.02843906984475884,-0.06173933247088613,-0.08165250399687728
2015-03-17,339.5,340.65,336.25,340.0,7293674,343.9507712207457,354.6430655552138,361.8926714154329,363.3375,-9.681305493894115,-6.794851895855671,-2.886453598038444,28.816546921162132,38.19147447742772,37.368845739110284,6.671114076050701,4.316542060475519,-93.3288859239493,-68.93781721254612,414.8776287833083,311.79737121669166,28.370387743246056,0.2735987418840326,10.611660372397404,-67308252,-0.20412197579746852,14546452.7,0.5014056794753817,0.013714967203339423,0.004282971496086141,-0.009468317552804084,0.012941176470588168,0.0014727540500736377,-0.011619915355134434,-0.043067839868275906,-0.06439021004539093
2015-03-18,341.25,341.25,336.0,336.65,5838059,342.4906169765966,353.0073323229216,360.90276273247474,360.50750000000005,-9.816724775816624,-7.399226471847862,-2.4174983039687623,28.521846897701554,36.53023876749807,33.943146037496064,2.201467645096701,3.1354236157438,-97.7985323549033,-66.00802034704701,411.3783391418896,309.6366608581105,28.221792413134022,0.2655090774750497,10.228684631511877,-73146311,-0.22078392991652546,14382711.6,0.40590809037706077,-0.00985294117647062,-0.004583086930810221,-0.014346362172449223,0.015594831427298382,-0.013479853479853546,-0.017349226129798327,-0.048588540985954706,-0.0720414755160397
2015-03-19,338.5,340.85,331.5,333.35,6974900,340.6624935812773,351.22030211174695,359.822262233162,357.7125,-10.074198859649698,-7.934220949408229,-2.139977910241469,28.685538255687202,34.91892714207516,30.707911237304117,2.35818992989168,3.743590550346351,-97.64181007010832,-68.68947203998732,408.09973920795824,307.3252607920417,28.17191974446421,0.2582473223086204,10.165921443546745,-80121211,-0.23545801530650104,14498783.75,0.48106793785375274,-0.009802465468587429,-0.03836722919371116,-0.03166303558460415,0.02804859757012156,-0.015214180206794615,-0.02193638392463565,-0.05360822592394457,-0.07941281605868301
2015-03-20,333.7,333.7,326.4,327.45,7048608,338.0199948650219,349.05936555613357,358.55276175343016,354.28249999999997,-10.631773154850578,-8.473731390496699,-2.1580417643538787,29.28365279353658,32.18548525006774,25.615324485049783,3.322784810126616,2.627480795038323,-96.67721518987338,-82.53836365584144,403.0782505834269,305.48674941657305,27.546238148046786,0.22505290236161035,9.961212769007693,-87169819,-0.26669324377089676,14553500.55,0.48432389003482734,-0.017699115044247926,-0.03520919269298761,-0.05429602888086649,0.0222934799205986,-0.018729397662571173,-0.03227972168276652,-0.06599287083870387,-0.09498476638702145
2015-03-23,326.35,329.8,325.0,327.4,7595698,335.89599589201754,347.09033232375776,357.33108482192307,351.14,-10.951447908585124,-8.969274694114384,-1.9821732144707394,29.955904158367865,32.16250781566279,25.573392898719206,9.302325581395257,4.994433440471175,-90.69767441860475,-86.3802009751717,398.3345505328742,303.9454494671258,26.880760114412595,0.24848791087157937,9.592554714078572,-94765517,-0.25288681342647146,14738211.2,0.5153744845236036,-0.00015269506794934884,-0.023852116875372698,-0.03236293778631605,0.014660965180207732,0.0032174046269341336,-0.025949895821678563,-0.0601415159552773,-0.09142054007917867
2015-03-24,327.1,329.8,326.0,326.55,7143657,334.02679671361403,345.2230293852343,356.12398345635745,347.6825,-11.144908779361913,-9.40440151116389,-1.740507268198023,30.580137568568343,31.74756759361766,24.76921992898326,6.007751937984538,6.21095410983546,-93.99224806201546,-87.66786521750974,391.30959335951707,304.05540664048294,25.095938598875158,0.2578053180640095,9.178800805930104,-101909174,-0.2780154839615616,14820768.0,0.48200315935044663,-0.0025962125839950057,-0.03955882352941176,-0.03544528134692071,0.011636809064461831,-0.0016814429837970386,-0.02289633046582153,-0.05718275726606742,-0.09056494704136407
2015-03-25,328.65,328.65,326.0,326.75,4833171,332.57143737089126,343.54366307748575,354.9720625365003,344.035,-11.15351876325417,-9.754224961581945,-1.3992938016722238,31.15978287804022,31.969966204500196,25.41306553743503,7.0,7.436692506459923,-93.0,-94.85186436859293,381.4057920708141,306.664207929186,21.72499430047178,0.268736504604363,8.71245789122081,-97076003,-0.32345862821128324,14537366.5,0.3324653746605343,0.0006124636349715828,-0.02940739640576262,-0.033855706682436426,0.00811017597551638,-0.005781226228510504,-0.017816181701273942,-0.05139606144601606,-0.08637203530681037
2015-03-26,326.0,328.95,320.6,322.4,16128731,330.53714989671306,341.6215118886234,353.6947267507552,340.3725,-11.380167397206776,-10.079413448706912,-1.3007539484998638,32.18533692672183,29.70293622095393,20.87887884604396,6.122448979591687,6.376733639192065,-93.87755102040832,-120.07452940646688,370.43432753925686,310.31067246074315,17.66407541106103,0.20107439448699072,8.686568041847893,-113204734,-0.33947184999400976,14953718.15,1.0785766348016932,-0.013312930374904441,-0.03284835758212101,-0.06995528631184189,0.025899503722084265,-0.011042944785276143,-0.02523929868707532,-0.059620074096226466,-0.09706801101350875
2015-03-27,324.0,325.25,315.1,317.5,14268835,327.92971991737045,339.4286471714758,352.275325701706,336.5625,-11.81893578680257,-10.427317916326045,-1.3916178704765247,33.560991828139436,27.35023062155102,16.913168948188797,6.876790830945498,6.666413270179053,-93.1232091690545,-160.46495144942898,356.0949057658043,317.0300942341957,11.607000640775071,0.012028875793348779,8.791098896001614,-127473569,-0.4175267739394882,14519921.95,0.9827074173769922,-0.015198511166253037,-0.03038631852191176,-0.06452563347083085,0.0319685039370078,-0.020061728395061727,-0.032849511550773064,-0.06906660526449071,-0.10952858488726293
2015-03-30,319.65,329.5,319.65,327.55,11011178,327.8537759338964,338.3487701558871,351.30570508595287,334.8725,-11.22630206598103,-10.587114746257042,-0.6391873197239892,33.94038842299721,38.167967017474325,42.87588087286954,35.67335243553008,16.224197415355746,-64.32664756446994,-95.91209755791729,351.10368834220174,318.64131165779827,9.693951185720973,0.27443118009538464,9.020306117715785,-116462391,-0.33823893412983774,12473474.15,0.8827675327326509,0.031653543307086585,0.00045815516188163485,-0.023404889683959373,0.030071744771790636,0.02471453151884885,-0.0009274185128876844,-0.03296831065757014,-0.07252543149428439
2015-03-31,328.8,328.8,324.0,325.85,8186377,327.45302074711714,337.21251832353374,350.30744214140566,334.00249999999994,-10.769665366579716,-10.623624870321578,-0.14604049625813786,34.29268526107943,37.160002075853434,40.385461107613565,30.802292263610337,24.45081184336196,-69.19770773638966,-79.22258069543844,350.20955016343265,317.79544983656723,9.704747816817367,0.2484890859906739,8.718855680736088,-124648768,-0.2578834863963607,11192037.1,0.7314465567666855,-0.005190047321019686,-0.002143622722400873,-0.041617647058823426,0.014730704311799942,-0.00897201946472016,-0.004919505131554746,-0.03487039534612159,-0.07505736425166683
2015-04-01,325.85,333.0,324.15,332.45,7226519,328.45241659769374,336.77956211230344,349.60715029272313,333.5475,-9.762674615008052,-10.451434819258873,0.688760204250821,33.75803774342291,43.40852166176219,52.802551075957766,49.713467048710534,38.72970391595031,-50.286532951289466,-39.76895159229188,349.3882536121242,317.70674638787585,9.49834947773505,0.4653583400489222,8.728223132112083,-117422249,-0.22348219384683693,10053562.4,0.7188018249133262,0.020254718428724727,0.017444529456771107,-0.012475865141838627,0.026620544442773418,0.02025471842872477,0.012024615437828989,-0.013023197811109789,-0.051608212641669864
2015-04-06,329.35,341.65,329.1,341.0,12877285,330.961933278155,337.1632382839122,349.26961498712615,333.38500000000005,-8.180414913748052,-9.99723083815671,1.8168159244086581,31.798225476057365,50.3026737512917,64.10298151332442,97.55178907721289,59.35584946317791,-2.4482109227871125,36.032660063038584,348.84537192308215,317.92462807691794,9.27478556208714,0.746274799787671,9.001207194104074,-104544964,-0.10012857325875509,9625027.9,1.3378958620992671,0.025718153105730224,0.05769230769230771,0.022948852557372,0.036803519061583446,0.03537270381053583,0.029437145811862124,0.0112515006336885,-0.024251070343478436
2015-04-07,341.1,343.0,337.0,340.6,7033050,332.88954662252405,337.4756711671929,348.9296300856702,333.1025,-6.879437484968889,-9.373672167519146,2.494234682550257,29.77763458743044,49.99581252820731,63.276074536380506,91.39784946236567,79.5543685294297,-8.602150537634333,70.87267821936274,347.79989687836,318.40510312164,8.824549127286643,0.7550621740044012,8.78683525166807,-111578014,-0.11302546886312893,9293367.15,0.756781679501385,-0.0011730205278591699,0.07275590551181099,0.04015880287066742,0.017615971814445096,-0.001465845793022574,0.02263785489570162,0.009173014776298071,-0.024455754802320033
2015-04-08,342.0,346.95,341.5,346.25,8254426,335.56163729801926,338.2733374247208,348.8245465528988,333.4975,-5.3310427759827235,-8.565146289211862,3.2341035132291385,27.968477958119525,54.24192798722863,69.7141179315322,97.80219780219784,95.58394544725878,-2.1978021978021647,113.42673965081461,349.1325079948821,317.86249200511793,9.376386926368008,0.9078187873064846,8.612775590834634,-103323588,-0.03891432226320478,9162691.25,0.9008735288335727,0.016588373458602312,0.05709052053121666,0.05757483200977398,0.01574007220216603,0.012426900584795321,0.03086891755084689,0.023037292636185393,-0.0074355135101771075
2015-04-09,346.9,348.95,344.0,347.15,5111691,337.87930983841545,339.08030674974617,348.7588780606283,333.9275,-3.9853655222074735,-7.649190135810985,3.663824613603511,26.56319866311736,54.89890661250868,70.66968757103001,94.68242245199406,94.6274899055192,-5.317577548005947,121.03375552563574,350.5373306734303,317.3176693265697,9.948165798522304,0.8980323538502769,8.351148762917873,-98211897,-0.02747522341546194,8983713.0,0.5689953586006142,0.002599277978339254,0.06536750038361205,0.06308375440208236,0.014258965864899867,0.0007206687806284233,0.02670514233496911,0.02324555163547114,-0.004634532797431492
2015-04-10,347.0,347.6,342.25,346.65,3728914,339.63344787073237,339.7684606815874,348.6761769602115,334.35,-2.9255287504780085,-6.70445785874439,3.7789291082663814,24.975688246192355,54.431338681804135,69.25344455942498,93.20531757754796,95.22997927724661,-6.794682422452034,102.02278681532948,351.7825557506645,316.9174442493355,10.427728877322867,0.8527882020262891,8.136780994138027,-101940811,0.013957102652977046,8746735.25,0.4263206663309033,-0.001440299582313176,0.04271318995337636,0.060902830910481986,0.015433434299726014,-0.001008645533141276,0.02024102734535586,0.01985154858910311,-0.005845022242064045
2015-04-13,347.0,352.4,344.85,351.5,7261102,342.00675829658593,340.8349642559885,348.78691511863457,334.59250000000003,-1.6749383595164318,-5.698553958898799,4.023615599382367,24.167147297357218,58.1542980502824,74.93738496456415,97.58713136729229,95.15829046561142,-2.412868632707717,132.93441926607196,352.8195478959163,316.3654521040838,10.89507260080023,0.9638024790560865,8.094868065985308,-94679709,-0.0248546479151857,8199019.4,0.8856061494378218,0.01399105726236849,0.030791788856304958,0.09026054590570731,0.02147937411095293,0.012968299711815562,0.027007800009712864,0.03034149571553771,0.007718591412134943
2015-04-15,354.0,358.6,351.4,354.95,11661496,344.59540663726875,342.11814932362586,349.0286047218254,335.37,-0.4008297813041395,-4.639009123379867,4.238179342075727,24.152295283029286,60.61903416730731,78.27100989648746,91.60919540229877,94.13388144904633,-8.390804597701228,162.47086247086247,355.5707524612334,315.1692475387666,12.046845252248787,0.9846354124079125,8.030948918414932,-83018213,0.011865111126368347,8260376.8,1.4117389899211377,0.009815078236130814,0.042131532589547716,0.1179527559055118,0.02028454711931271,0.0026836158192090074,0.029171977356617092,0.03615114995456862,0.016682336323917735
2015-04-16,352.85,356.4,346.65,350.1,5243825,345.69632530981505,342.8437721123871,349.0706202229303,336.105,0.2150767091049488,-3.668191956882904,3.8832686659878526,23.34492004533351,55.65608788341154,64.25387880141183,80.45977011494253,89.88536562817785,-19.54022988505747,114.75617079106259,357.3017898512965,314.9082101487035,12.613195192750181,0.8301207422958906,8.153738281385294,-88262038,0.03316509998138158,8236059.8,0.636690981772619,-0.013663896323425684,0.01111913357400729,0.06884445122881999,0.02784918594687232,-0.007793680034008785,0.012578333876563756,0.020726157919488456,0.002940245007339963
2015-04-17,350.5,353.25,347.7,351.85,5871559,346.92706024785207,343.6625201021701,349.17961550830563,336.6975,0.8347746521992008,-2.767598635066483,3.6023732872656837,22.59521446747315,57.02332661099255,66.75978666985003,84.48275862068965,85.5172413793103,-15.517241379310345,102.36425506731811,358.9336524324696,314.46134756753037,13.208385825537535,0.8407176679062984,7.96775697557206,-82390479,0.01980171037700092,8164954.05,0.7191172129131578,0.004998571836618115,0.01353881607374352,0.07979131502224956,0.015773767230353876,0.0038516405135521335,0.013991586619718499,0.02326980218226493,0.007589553763519659
2015-04-20,352.1,352.1,340.6,341.9,7517021,345.9216481982817,343.5022910019728,348.89414039033284,336.96,0.5170476885015205,-2.1106693703528827,2.627717058854403,21.147468155176476,47.96751670530786,45.569319174521674,61.609195402298745,75.5172413793103,-38.390804597701255,54.816337015155355,359.311366848585,314.60863315141495,13.26648079806804,0.6105077831137814,8.220060048745484,-89907500,0.01096221572508649,8248902.15,0.9112753264990542,-0.028279096205769627,-0.013702581854896922,0.028425327116859744,0.03363556595495759,-0.028969042885544007,-0.011762644627907857,-0.0046864317109471905,-0.020456684382371627
2015-04-21,341.85,348.7,341.0,341.95,7260219,345.12731855862535,343.3611736381571,348.62182115933945,337.39,0.2662126293252527,-1.6352929704172556,1.9015055997425083,19.803132293758136,48.01219615615697,45.670420222404644,57.252888318356824,67.78161411378173,-42.74711168164317,44.07271105163396,359.7778895834338,315.00211041656615,13.271222966557298,0.6018407738479786,8.18291290240652,-82647281,0.0033556599922200912,8263168.1,0.8786241441705633,0.00014624159110865342,-0.027169274537695576,0.002785923753665598,0.022517911975434974,0.0002925259616789992,-0.009291763587148293,-0.004126842047542316,-0.019511101504136447
2015-04-22,340.0,345.0,338.55,343.4,7179010,344.7818548469003,343.36470330741554,348.41704385897316,338.1875,0.1823251883258763,-1.2717693386686295,1.4540945269945058,18.911117935765997,49.369959955326244,48.882778088165736,56.069364161849606,58.31048262750172,-43.930635838150394,29.85619305028077,360.2360118545453,316.1389881454547,13.039223421649426,0.6182052565358377,8.059133409377482,-75468271,0.055581445735605195,8269688.2,0.868111327341217,0.004240386021348019,-0.03253979433723064,0.00822078684674099,0.018782760629004046,0.009999999999999933,-0.004024038575714316,0.00010278594229597688,-0.014609912227644677
2015-04-23,343.4,346.5,338.3,342.1,5949753,344.24548387752026,343.2497302794687,348.16931664881736,338.9225,0.010819926137514813,-1.0152514857074006,1.0260714118449155,17.83311559039755,48.15564868849716,46.03566859327658,52.104499274310655,55.14225058483902,-47.895500725689345,25.86382296267056,360.4576683299673,317.3873316700327,12.708019284625419,0.5737746729283364,8.06919530870766,-81418024,0.053481486298671256,8187390.95,0.7266970682522494,-0.0037856726849153643,-0.02285061411025424,-0.01198555956678693,0.023969599532300462,-0.003785672684915418,-0.006271510895996008,-0.0033608017523199534,-0.017741352378887267
2015-04-24,342.0,349.95,341.15,347.95,11545879,344.98638710201624,343.6770275267897,348.16071599592254,339.99249999999995,0.3429930691393679,-0.743602574738047,1.086595643877415,16.840203449589872,53.677178836600234,58.67269022795986,63.898305084745644,57.35738950696864,-36.101694915254356,50.69095398259054,361.0843769909182,318.9006230090817,12.40726015480827,0.6886389723263222,8.121395643799971,-69872145,0.11972037050872701,8407502.05,1.373282924147488,0.017100263080970457,-0.011084268864573033,0.0023044793317010814,0.02529099008478233,0.017397660818713415,0.008517352774777269,0.012280420960512437,-0.0006055927458616339
2015-04-27,348.9,351.8,344.2,344.85,6247926,344.95910968161303,343.78366138799066,348.0308839960824,340.8975,0.3520404823842682,-0.524473963313584,0.8765144456978522,16.201847668541244,50.601694133691886,51.25264087819538,36.34259259259266,50.78179898388297,-63.65740740740734,51.30287922940754,361.17649097588503,320.6185090241149,11.89741255121264,0.5974530735947413,8.08415309781426,-76120071,0.10054679760282832,8478239.8,0.7369366929206225,-0.008909326052593647,0.008628253875402336,-0.005192557334487091,0.02203856749311301,-0.011607910576096173,-0.00031639751083951327,0.003092180983063246,-0.009223964030976946
2015-04-28,344.9,345.0,333.6,337.55,7124405,343.4772877452904,343.21696489817333,347.61986893741255,341.65500000000003,-0.22721912812062328,-0.4650229962749919,0.2378038681543686,16.046349387217326,44.181990016947395,38.03707281228168,15.799999999999955,38.680299225779414,-84.20000000000003,-24.40753299998013,360.16855989538556,323.1414401046145,10.837575855986609,0.3891353142454471,8.32099930511324,-83244476,0.14970625407475502,8028023.5,0.8874419712398699,-0.021168624039437423,-0.012867378271677055,-0.039687055476529176,0.033772774403791964,-0.021310524789794047,-0.017559732618250373,-0.016788519917562788,-0.029832229113946188
