Date,Open,High,Low,Close,Volume,ema_9,ema_21,ema_50,sma_20,macd,macd_signal,macd_diff,adx,rsi_14,rsi_7,stoch_k,stoch_d,williams_r,cci,bb_upper,bb_lower,bb_width,bb_pct,atr_14,obv,cmf,volume_sma,volume_ratio,returns_1d,returns_5d,returns_10d,high_low_pct,close_open_pct,dist_ema9,dist_ema21,dist_ema50,future_return,label,label_str
2015-03-13,290.0,291.05,280.0,280.75,13414248,289.2943048688385,294.2163109437284,300.70878619832274,296.3275,-4.820956965571213,-3.6484009757796665,-1.1725559897915463,13.75537409825416,34.51376529817664,24.87489012860273,2.142857142857143,5.51428571428571,-97.85714285714286,-153.96758365508416,311.29294269308446,281.3620573069155,10.100610097331142,-0.0204490211037441,9.35490462211071,-192396342,-0.0290779727555437,19661929.7,0.6822447340964707,-0.0212654697577131,-0.0444179714091218,-0.0638546182060686,0.0393588601959038,-0.0318965517241379,-0.0304338552763614,-0.0479654886686674,-0.0710909570732778,-0.008904719501335756,1,HOLD
2015-03-16,281.5,283.85,280.0,281.65,15132928,287.7654438950708,293.0739190397531,299.9613828179964,295.0625,-5.199308780372689,-3.958582536698272,-1.240726243674418,13.94999284639943,35.69209036639066,27.958539219739407,4.71428571428565,5.59238095238095,-95.28571428571436,-150.21628704252112,310.49240197635726,279.63259802364274,10.45873465883144,0.0653731300253376,8.961697149102806,-177263414,-0.2305705921071455,16891573.3,0.8958862345877515,0.0032056990204807,-0.0309650782728367,-0.0663020056356704,0.0136694478963253,0.0005328596802841,-0.0217129199185898,-0.0405606924898033,-0.0650146735948744,-0.02449849103497237,0,SELL
2015-03-17,283.9,284.0,279.5,283.1,11350496,286.83235511605665,292.16719912704826,299.30015211925144,293.8825,-5.32081736712172,-4.231029502782961,-1.0897878643387582,14.19644834672494,37.63896761243755,33.11862924646509,10.1408450704226,5.665995975855125,-89.8591549295774,-128.35887186320178,309.1810710116988,278.5839289883012,10.411352164010315,0.1475978053193792,8.643004495595463,-165912918,-0.1825099554039985,16390491.55,0.6925049175843662,0.0051482336232915,-0.0156467315716272,-0.0625827814569536,0.0158954433062522,-0.0028178936245155,-0.0131838753657952,-0.0320282554823321,-0.0572241332364938,-0.04433062522077014,0,SELL
2015-03-18,284.1,288.45,282.0,287.3,12394230,286.9258840928453,291.7247264791348,298.82955791849645,292.9625,-5.020337571929474,-4.388891116612264,-0.6314464553172101,13.624236917906131,43.01996588937782,46.15237872459269,21.971830985915524,12.27565392354125,-78.02816901408448,-80.80432279209805,307.5019592402877,278.42304075971225,9.925815925442832,0.3052712997636936,8.486361317338643,-153518688,-0.1691883712249494,16336578.85,0.7586796546450728,0.0148357470858353,0.0075398912852886,-0.050561797752809,0.0224504002784545,0.0112636395635339,0.0013021785839008,-0.0154010667564733,-0.0401307271788946,-0.0762269404803343,0,SELL
2015-03-19,290.0,290.3,280.6,281.6,11046649,285.86070727427625,290.8042967992135,298.15388898051623,291.925,-5.182407959491911,-4.547594485188194,-0.6348134743037175,12.781818548813185,38.20217550255624,35.26965182089097,5.915492957746543,12.676056338028216,-94.08450704225346,-89.69359331476308,306.59764461506467,277.25235538493536,10.052338521924916,0.1481547713150792,8.573049794671595,-164565337,-0.2033121262506061,16000804.55,0.69038084713059,-0.0198398886181691,-0.0183022485619661,-0.0416879360217797,0.0344460227272726,-0.0289655172413792,-0.0151303525364922,-0.0326857130653887,-0.0587851171183103,-0.0886008522727274,0,SELL
2015-03-20,281.8,282.4,276.8,278.25,11482652,284.338565819421,289.6629970901941,297.3733443146137,290.7225,-5.517563870436902,-4.741588362237936,-0.7759755081989663,12.58283520787417,35.67358104669107,30.3608615855819,3.795811518324579,10.561045153995542,-96.20418848167542,-128.9156101598913,305.7350106161489,275.70998938385105,10.327725316168454,0.0845964636127106,8.360689095052193,-176047989,-0.2291818899548427,15785312.05,0.7274263545521736,-0.0118963068181818,-0.0089047195013357,-0.052927161334241,0.0201257861635218,-0.012597586941093,-0.0218816381650349,-0.0410170605218116,-0.0687272032870213,-0.05265049415992806,0,SELL
2015-03-23,279.4,280.0,273.55,274.75,13058026,282.4208526555368,288.30727008199466,296.4861543414916,289.6325,-5.996474468807605,-4.99256558355187,-1.0039088852557354,12.85554632193326,33.20100193176762,25.9573106578206,2.895054282267766,4.202119586112957,-97.10494571773224,-140.68409801019564,305.9068747959785,273.35812520402146,11.237947948506145,0.0427627731764686,8.224211302548463,-189106015,-0.231906069163635,15816188.1,0.8256114505871361,-0.0125786163522012,-0.0244984910349723,-0.0547049716153448,0.0234758871701546,-0.0166428060128846,-0.027919390920971,-0.0493440221364682,-0.079112481679678,-0.024931756141947314,0,SELL
2015-03-24,273.8,276.4,269.0,270.55,17585259,280.0466821244295,286.69297280181337,295.4690502496684,288.3475,-6.638396168741224,-5.321731700589741,-1.3166644681514832,13.687361506826957,30.47161625136009,21.576135402831568,3.369565217391329,3.353477005994552,-96.63043478260867,-157.2601862231474,306.3007859109406,270.39421408905935,12.452534466878072,0.004338646187485,8.165339066652143,-206691274,-0.2716809372196514,15943116.15,1.1030001183300668,-0.0152866242038216,-0.0443306252207701,-0.0592837273991655,0.0273516909998151,-0.0118699780861943,-0.0351013939176842,-0.059667243769408,-0.0921051570861887,-0.012936610608020649,1,HOLD
2015-03-25,271.9,272.1,265.0,265.4,15824629,277.1173456995436,284.7572480016485,294.2898718085049,286.84000000000003,-7.476501247962858,-5.752685610064365,-1.7238156378984932,14.912890617159968,27.487649713950503,17.379720291738778,1.2799999999999272,2.5148731665530017,-98.72000000000008,-173.1412400308722,307.04328191160977,266.6367180883903,14.086795364391111,-0.0306068611476347,8.089243419034135,-222515903,-0.2806535760795696,16092089.15,0.983379401673275,-0.0190352984660877,-0.0762269404803343,-0.0692617920392776,0.0267520723436323,-0.023905847738139,-0.0441497577224702,-0.0729361266075679,-0.1088540761435755,0.03033157498116057,2,BUY
2015-03-26,264.5,265.9,255.2,256.65,22253318,273.02387655963486,282.2020436378623,292.81379840424984,285.2025,-8.74593968612271,-6.351336425276035,-2.394603260846676,16.947263790592128,23.310862846221227,12.543780840997217,3.737113402061825,2.795559539817688,-96.26288659793818,-201.52738654147137,309.2529360667322,261.1520639332677,16.865515601533808,-0.0935963057130439,8.275726031960268,-244769221,-0.2873012339780535,16269387.8,1.3678030343587977,-0.0329691032403918,-0.0886008522727274,-0.1052815060135961,0.0416910188973309,-0.0296786389413989,-0.0637984670159161,-0.0995598816982751,-0.1409070656701728,0.07013442431326711,2,BUY
